food_name,food_type,amount,unit,calories(g),fats(g),carbs(g),protein(g),saturated_fat(g),cholesterol(mg),sodium(mg),dietary_fiber(g),sugars(g),calcium(mg),iron(mg),potassium(mg),vitamin_A(mcg),vitamin_C(mg)
đường,gia vị,263,gram,1018,0,262.95,0,0,0,0,0,262.76,3,0.03,5,0,0
đường,gia vị,265,gram,1026,0,264.95,0,0,0,0,0,264.76,3,0.03,5,0,0
đường,gia vị,269,gram,1041,0,268.95,0,0,0,0,0,268.76,3,0.03,5,0,0
đường,gia vị,270,gram,1045,0,269.95,0,0,0,0,0,269.76,3,0.03,5,0,0
đường,gia vị,271,gram,1049,0,270.95,0,0,0,0,0,270.76,3,0.03,5,0,0
đường,gia vị,273,gram,1057,0,272.95,0,0,0,0,0,272.75,3,0.03,5,0,0
đường,gia vị,275,gram,1064,0,274.94,0,0,0,0,0,274.75,3,0.03,5,0,0
đường,gia vị,279,gram,1080,0,278.94,0,0,0,0,0,278.75,3,0.03,6,0,0
đường,gia vị,280,gram,1084,0,279.94,0,0,0,0,0,279.75,3,0.03,6,0,0
đường,gia vị,281,gram,1087,0,280.94,0,0,0,0,0,280.75,3,0.03,6,0,0
đường,gia vị,283,gram,1095,0,282.94,0,0,0,0,0,282.75,3,0.03,6,0,0
đường,gia vị,285,gram,1103,0,284.94,0,0,0,0,0,284.74,3,0.03,6,0,0
đường,gia vị,289,gram,1118,0,288.94,0,0,0,0,0,288.74,3,0.03,6,0,0
đường,gia vị,290,gram,1122,0,289.94,0,0,0,0,0,289.74,3,0.03,6,0,0
đường,gia vị,291,gram,1126,0,290.94,0,0,0,0,0,290.74,3,0.03,6,0,0
đường,gia vị,293,gram,1134,0,292.94,0,0,0,0,0,292.74,3,0.03,6,0,0
đường,gia vị,295,gram,1142,0,294.94,0,0,0,0,0,294.73,3,0.03,6,0,0
đường,gia vị,299,gram,1157,0,298.94,0,0,0,0,0,298.73,3,0.03,6,0,0
đường,gia vị,300,gram,1161,0,299.94,0,0,0,0,0,299.73,3,0.03,6,0,0
đường,gia vị,301,gram,1165,0,300.94,0,0,0,0,0,300.73,3,0.03,6,0,0
đường,gia vị,303,gram,1173,0,302.94,0,0,0,0,0,302.73,3,0.03,6,0,0
đường,gia vị,305,gram,1180,0,304.94,0,0,0,0,0,304.73,3,0.03,6,0,0
đường,gia vị,309,gram,1196,0,308.94,0,0,0,0,0,308.72,3,0.03,6,0,0
đường,gia vị,310,gram,1200,0,309.94,0,0,0,0,0,309.72,3,0.03,6,0,0
đường,gia vị,311,gram,1204,0,310.94,0,0,0,0,0,310.72,3,0.03,6,0,0
đường,gia vị,313,gram,1211,0,312.94,0,0,0,0,0,312.72,3,0.03,6,0,0
đường,gia vị,315,gram,1219,0,314.94,0,0,0,0,0,314.72,3,0.03,6,0,0
đường,gia vị,319,gram,1235,0,318.94,0,0,0,0,0,318.71,3,0.03,6,0,0
đường,gia vị,320,gram,1238,0,319.94,0,0,0,0,0,319.71,3,0.03,6,0,0
đường,gia vị,321,gram,1242,0,320.94,0,0,0,0,0,320.71,3,0.03,6,0,0
đường,gia vị,323,gram,1250,0,322.94,0,0,0,0,0,322.71,3,0.03,6,0,0
đường,gia vị,325,gram,1258,0,324.94,0,0,0,0,0,324.71,3,0.03,6,0,0
đường,gia vị,329,gram,1273,0,328.93,0,0,0,0,0,328.7,3,0.03,7,0,0
đường,gia vị,330,gram,1277,0,329.93,0,0,0,0,0,329.7,3,0.03,7,0,0
đường,gia vị,331,gram,1281,0,330.93,0,0,0,0,0,330.7,3,0.03,7,0,0
đường,gia vị,333,gram,1289,0,332.93,0,0,0,0,0,332.7,3,0.03,7,0,0
đường,gia vị,335,gram,1296,0,334.93,0,0,0,0,0,334.7,3,0.03,7,0,0
đường,gia vị,339,gram,1312,0,338.93,0,0,0,0,0,338.69,3,0.03,7,0,0
đường,gia vị,340,gram,1316,0,339.93,0,0,0,0,0,339.69,3,0.03,7,0,0
đường,gia vị,341,gram,1320,0,340.93,0,0,0,0,0,340.69,3,0.03,7,0,0
đường,gia vị,343,gram,1327,0,342.93,0,0,0,0,0,342.69,3,0.03,7,0,0
đường,gia vị,345,gram,1335,0,344.93,0,0,0,0,0,344.69,3,0.03,7,0,0
đường,gia vị,349,gram,1351,0,348.93,0,0,0,0,0,348.69,3,0.03,7,0,0
đường,gia vị,350,gram,1354,0,349.93,0,0,0,0,0,349.68,4,0.04,7,0,0
đường,gia vị,351,gram,1358,0,350.93,0,0,0,0,0,350.68,4,0.04,7,0,0
đường,gia vị,353,gram,1366,0,352.93,0,0,0,0,0,352.68,4,0.04,7,0,0
đường,gia vị,355,gram,1374,0,354.93,0,0,0,0,0,354.68,4,0.04,7,0,0
đường,gia vị,359,gram,1389,0,358.93,0,0,0,0,0,358.68,4,0.04,7,0,0
đường,gia vị,360,gram,1393,0,359.93,0,0,0,0,0,359.68,4,0.04,7,0,0
đường,gia vị,361,gram,1397,0,360.93,0,0,0,0,0,360.68,4,0.04,7,0,0
đường,gia vị,363,gram,1405,0,362.93,0,0,0,0,0,362.67,4,0.04,7,0,0
đường,gia vị,365,gram,1413,0,364.93,0,0,0,0,0,364.67,4,0.04,7,0,0
đường,gia vị,369,gram,1428,0,368.93,0,0,0,0,0,368.67,4,0.04,7,0,0
đường,gia vị,370,gram,1432,0,369.93,0,0,0,0,0,369.67,4,0.04,7,0,0
đường,gia vị,371,gram,1436,0,370.93,0,0,0,0,0,370.67,4,0.04,7,0,0
đường,gia vị,373,gram,1444,0,372.93,0,0,0,0,0,372.66,4,0.04,7,0,0
đường,gia vị,375,gram,1451,0,374.92,0,0,0,0,0,374.66,4,0.04,8,0,0
đường,gia vị,379,gram,1467,0,378.92,0,0,0,0,0,378.66,4,0.04,8,0,0
đường,gia vị,380,gram,1471,0,379.92,0,0,0,0,0,379.66,4,0.04,8,0,0
đường,gia vị,381,gram,1474,0,380.92,0,0,0,0,0,380.66,4,0.04,8,0,0
đường,gia vị,383,gram,1482,0,382.92,0,0,0,0,0,382.66,4,0.04,8,0,0
đường,gia vị,385,gram,1490,0,384.92,0,0,0,0,0,384.65,4,0.04,8,0,0
đường,gia vị,389,gram,1505,0,388.92,0,0,0,0,0,388.65,4,0.04,8,0,0
đường,gia vị,390,gram,1509,0,389.92,0,0,0,0,0,389.65,4,0.04,8,0,0
đường,gia vị,391,gram,1513,0,390.92,0,0,0,0,0,390.65,4,0.04,8,0,0
đường,gia vị,393,gram,1521,0,392.92,0,0,0,0,0,392.65,4,0.04,8,0,0
đường,gia vị,395,gram,1529,0,394.92,0,0,0,0,0,394.64,4,0.04,8,0,0
đường,gia vị,399,gram,1544,0,398.92,0,0,0,0,0,398.64,4,0.04,8,0,0
đường,gia vị,400,gram,1548,0,399.92,0,0,0,0,0,399.64,4,0.04,8,0,0
đường,gia vị,401,gram,1552,0,400.92,0,0,0,0,0,400.64,4,0.04,8,0,0
đường,gia vị,403,gram,1560,0,402.92,0,0,0,0,0,402.64,4,0.04,8,0,0
đường,gia vị,405,gram,1567,0,404.92,0,0,0,0,0,404.64,4,0.04,8,0,0
đường,gia vị,409,gram,1583,0,408.92,0,0,0,0,0,408.63,4,0.04,8,0,0
đường,gia vị,410,gram,1587,0,409.92,0,0,0,0,0,409.63,4,0.04,8,0,0
đường,gia vị,411,gram,1591,0,410.92,0,0,0,0,0,410.63,4,0.04,8,0,0
đường,gia vị,413,gram,1598,0,412.92,0,0,0,0,0,412.63,4,0.04,8,0,0
đường,gia vị,415,gram,1606,0,414.92,0,0,0,0,0,414.63,4,0.04,8,0,0
